File,N.Sentences,N.words,N.syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
5.txt,45,404,619,8.978,1.532,5.991
20.txt,53,926,1558,17.472,1.683,11.078
26.txt,52,718,1035,13.808,1.442,6.805
98.txt,75,1232,1988,16.427,1.614,9.857
135.txt,34,764,1366,22.471,1.788,14.271
140.txt,70,1299,2108,18.557,1.623,10.796
199.txt,49,1065,2055,21.735,1.93,15.656
209.txt,50,825,1305,16.5,1.582,9.51
233.txt,31,247,355,7.968,1.437,4.477
242.txt,56,377,529,6.732,1.403,3.593
271.txt,53,610,861,11.509,1.411,5.554
284.txt,61,961,1497,15.754,1.558,8.936
290.txt,38,302,421,7.947,1.394,3.959
308.txt,57,676,1007,11.86,1.49,6.613
322.txt,31,579,931,18.677,1.608,10.668
331.txt,43,879,1530,20.442,1.741,12.922
351.txt,33,289,420,8.758,1.453,4.974
361.txt,34,728,1189,21.412,1.633,12.033
372.txt,59,581,828,9.847,1.425,5.067
378.txt,48,759,1306,15.812,1.721,10.881
381.txt,43,563,851,13.093,1.512,7.353
385.txt,52,573,865,11.019,1.51,6.521
401.txt,56,651,1018,11.625,1.564,7.396
432.txt,54,652,1044,12.074,1.601,8.013
437.txt,59,913,1515,15.475,1.659,10.026
455.txt,53,645,906,12.17,1.405,5.731
460.txt,55,461,715,8.382,1.551,5.98
498.txt,40,906,1566,22.65,1.728,13.64
519.txt,48,390,592,8.125,1.518,5.491
529.txt,62,716,1146,11.548,1.601,7.8
537.txt,56,759,1302,13.554,1.715,9.938
563.txt,37,646,1111,17.459,1.72,11.513
569.txt,57,553,900,9.702,1.627,7.398
613.txt,47,665,1023,14.149,1.538,8.081
655.txt,52,973,1636,18.712,1.681,11.548
677.txt,35,901,1551,25.743,1.721,14.762
714.txt,49,497,790,10.143,1.59,7.122
729.txt,64,1159,1946,18.109,1.679,11.285
748.txt,43,408,667,9.488,1.635,7.401
760.txt,39,754,1223,19.333,1.622,11.09
775.txt,42,406,596,9.667,1.468,5.502
779.txt,44,531,869,12.068,1.637,8.428
783.txt,46,507,726,11.022,1.432,5.606
793.txt,40,391,645,9.775,1.65,7.688
794.txt,50,772,1361,15.44,1.763,11.234
797.txt,45,637,970,14.156,1.523,7.899
863.txt,67,1028,1746,15.343,1.698,10.436
864.txt,73,1086,1829,14.877,1.684,10.085
879.txt,83,1581,2658,19.048,1.681,11.677
887.txt,41,772,1236,18.829,1.601,10.646
935.txt,48,437,587,9.104,1.343,3.811
974.txt,35,848,1371,24.229,1.617,12.937
975.txt,51,835,1323,16.373,1.584,9.492
976.txt,44,390,586,8.864,1.503,5.597
